D1, 0.00, -18.50, 180.00, PTVS33VP1UTP,115-36V-SOD128, SOD128
D2, 0.00, -14.75, 180.00, PTVS33VP1UTP,115-36V-SOD128, SOD128
U$8, -16.73, -11.18, 0.00, FIDUCIALMOUNT, FIDUCIA-MOUNT
U$9, 11.30, 16.60, 0.00, FIDUCIALMOUNT, FIDUCIA-MOUNT
